,,Name,"Profile ID",Date,Likes,Stars,Comment,URL,"Profile Image"
1,,"Sonia Garcia","ID: 100008772873542","2023-02-24 21:22:01",1,,Francisco😍,https://www.exportcomments.com/done/4f3bd42d-69cf-458e-a02d-7aa346a6e8fd/preview/732020568282596,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/312277170_2966005580368509_9080070844686841655_n.jpg?stp=cp0_dst-jpg_p48x48&_nc_cat=109&ccb=1-7&_nc_sid=7206a8&_nc_ohc=RpNaJWuq-8YAX8TK2Lr&_nc_ht=scontent-sof1-1.xx&oh=00_AfCZeYB5pB6zveOUaJYZ5QJeWxPSKnIx3XovI58dXCMw1A&oe=63FF554A
2,,"Stone Leach","ID: 100001310914356","2023-02-24 21:33:15",3,,"This ain’t it 😂",https://www.exportcomments.com/done/4f3bd42d-69cf-458e-a02d-7aa346a6e8fd/preview/579115850774343,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/330393485_5936358879776649_7738891040427740948_n.jpg?stp=cp0_dst-jpg_p48x48&_nc_cat=108&ccb=1-7&_nc_sid=7206a8&_nc_ohc=a7tqq6OUbOcAX_-1869&_nc_ht=scontent-sof1-1.xx&oh=00_AfCCAVmnemr2NnZnKplSB4FN1ovCZBXSwtWBm_suHw4mig&oe=64011A39
3,,"Ashley Velotta","ID: 100000029267175","2023-02-24 22:54:10",0,,"Alex Smith",https://www.exportcomments.com/done/4f3bd42d-69cf-458e-a02d-7aa346a6e8fd/preview/1948242952206144,https://scontent-sof1-1.xx.fbcdn.net/v/t1.6435-1/208565617_6109840725693509_1769581405565878820_n.jpg?stp=cp0_dst-jpg_p48x48&_nc_cat=103&ccb=1-7&_nc_sid=7206a8&_nc_ohc=TAW7mxhoutIAX_-00WF&_nc_ht=scontent-sof1-1.xx&oh=00_AfCZL5dAsd5l1DBMcmw5VOYVDFSwwN1Bw844ESWQ1CaL_A&oe=64229920
4,,"Joanie Ehrsam","ID: 100012146134088","2023-02-25 00:54:18",0,,Nooo,https://www.exportcomments.com/done/4f3bd42d-69cf-458e-a02d-7aa346a6e8fd/preview/500084332329626,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/310262907_1614526378962218_1878848399231701753_n.jpg?stp=cp0_dst-jpg_p48x48&_nc_cat=107&ccb=1-7&_nc_sid=7206a8&_nc_ohc=CqgmeuL-jCAAX-xGyJi&_nc_ht=scontent-sof1-1.xx&oh=00_AfDgNkGawcBtmvMcuyqabwX1bgApoxL9d-wBhKRO2JsRjg&oe=6400DDCC
5,,"Aurora Rose","ID: 100000166987233","2023-02-25 01:30:29",0,,"Make blue soles tooooo please 💙",https://www.exportcomments.com/done/4f3bd42d-69cf-458e-a02d-7aa346a6e8fd/preview/209704964874788,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/330644683_2469217489898273_8109358922670449057_n.jpg?stp=cp0_dst-jpg_p48x48&_nc_cat=107&ccb=1-7&_nc_sid=7206a8&_nc_ohc=RvwcvInaL3EAX8m3AO_&_nc_ht=scontent-sof1-1.xx&oh=00_AfCj_BM8eH8p8ukkiu79Mj3g-RdFkRMeTv24Cqx4wGhA4A&oe=6400751D
6,,"LeAnn LeAnn","ID: 648311070","2023-02-25 01:52:24",0,,"[PHOTO] https://external-sof1-1.xx.fbcdn.net/emg1/v/t13/17733913100573087826?url=https%3A%2F%2Fmedia1.tenor.co%2Fimages%2F42a2c9060dfbe6616650161d1177b083%2Ftenor.gif%3Fc%3DVjFfZmFjZWJvb2tfd2ViY29tbWVudHM%26itemid%3D26360246&fb_obo=1&utld=tenor.co&stp=dst-emg0_q75_s396x222&ccb=13-1&oh=06_AbGEp6QvhvqWTeyv9gXbi8eWWTLGU-Vu6E76KNt4S4CyzQ&oe=63FD2320&_nc_sid=320992",https://www.exportcomments.com/done/4f3bd42d-69cf-458e-a02d-7aa346a6e8fd/preview/499945972341738,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/332598035_3383858975215942_3074308106669991905_n.jpg?stp=cp0_dst-jpg_p48x48&_nc_cat=107&ccb=1-7&_nc_sid=7206a8&_nc_ohc=6jhotoaxDnwAX8Hsc0Q&_nc_ht=scontent-sof1-1.xx&oh=00_AfA2FUFCp0rGOi6frQaRHhOOniRGgP4D0VOxt4ts3rCFHw&oe=6400FD92
7,,"Nathaniel Austin","ID: 100027491531771","2023-02-25 03:08:56",0,,👎🏽,https://www.exportcomments.com/done/4f3bd42d-69cf-458e-a02d-7aa346a6e8fd/preview/1109663247097765,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/332980094_734155568114220_6687983253491846360_n.jpg?stp=cp0_dst-jpg_p48x48&_nc_cat=111&ccb=1-7&_nc_sid=7206a8&_nc_ohc=gO_j0aJ9mG8AX9lbdOw&_nc_ht=scontent-sof1-1.xx&oh=00_AfD2jtLP-92pCVCsUiDY8Il6zFp4WFXESrjvE9wOwVkCvg&oe=640019E1
8,,"Carly Coolberth","ID: 100055365652321","2023-02-25 06:47:56",0,,🫣,https://www.exportcomments.com/done/4f3bd42d-69cf-458e-a02d-7aa346a6e8fd/preview/1157038568323177,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/320518786_1296860221157835_5043849155909300876_n.jpg?stp=cp0_dst-jpg_p48x48&_nc_cat=104&ccb=1-7&_nc_sid=7206a8&_nc_ohc=SUdj3pLdSjIAX_Vx31a&_nc_ht=scontent-sof1-1.xx&oh=00_AfD0cIhHwRqXSgAMMoP5lMCA09Kd_qPV8gMn3TRI1EDL5w&oe=64010A37
9,,"Carly Coolberth","ID: 100055365652321","2023-02-25 06:48:04",0,,"Not it",https://www.exportcomments.com/done/4f3bd42d-69cf-458e-a02d-7aa346a6e8fd/preview/153768030829128,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/320518786_1296860221157835_5043849155909300876_n.jpg?stp=cp0_dst-jpg_p48x48&_nc_cat=104&ccb=1-7&_nc_sid=7206a8&_nc_ohc=SUdj3pLdSjIAX_Vx31a&_nc_ht=scontent-sof1-1.xx&oh=00_AfD0cIhHwRqXSgAMMoP5lMCA09Kd_qPV8gMn3TRI1EDL5w&oe=64010A37
10,,"Sara Eslami","ID: 100010365301733","2023-02-25 15:41:48",0,,"Dom Paraan 👀👀👀👀👀",https://www.exportcomments.com/done/4f3bd42d-69cf-458e-a02d-7aa346a6e8fd/preview/1652971295163156,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/241651306_1486039918418171_6846140301316135289_n.jpg?stp=cp0_dst-jpg_p48x48&_nc_cat=106&ccb=1-7&_nc_sid=7206a8&_nc_ohc=GRazbxwgS7kAX9sF_UD&_nc_ht=scontent-sof1-1.xx&oh=00_AfCfs608t6Tm1gNo_r6Gfdn-UIRxaIaQP8Wa6aV0PtG8hw&oe=63FF9CB0
11,,"Ashley Ruybal","ID: 100002111180897","2023-02-25 16:52:09",0,,"Cameron Burke these kinda cute",https://www.exportcomments.com/done/4f3bd42d-69cf-458e-a02d-7aa346a6e8fd/preview/603335681131426,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/316215405_5646797288733921_6036194730508586356_n.jpg?stp=cp0_dst-jpg_p48x48&_nc_cat=102&ccb=1-7&_nc_sid=7206a8&_nc_ohc=CikGDV5tmPwAX9pESbY&_nc_oc=AQlACnTbfn7bH_Cn7aDvh0D4rCKgaCu4y_jsGhrEJ13ck6PqtuiOUVoTbO_H3ppmrRw&_nc_ht=scontent-sof1-1.xx&oh=00_AfDV1JLbHOH942d-5RsziUTdMIJfeCAIMh0lPR55krxylQ&oe=6400AA97
12,,"Stac Gable","ID: 688981097","2023-02-26 05:43:39",0,,"Why the flimsy box??? Sure hope 1 was all that was supposed to be in there! No invoice! (Ordered 3)[PHOTO] https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-6/332470270_215909870962902_6641617695929677051_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=dbeb18&_nc_ohc=Xk21ijGJ-XgAX_6HQ-U&_nc_ht=scontent-sof1-1.xx&oh=00_AfD3IrhfEK0Tx9vj0Q8r24jhAUv6GuhGWDlt-5iKvCQR-Q&oe=64004AF9",https://www.exportcomments.com/done/4f3bd42d-69cf-458e-a02d-7aa346a6e8fd/preview/1418545222289610,https://scontent-sof1-1.xx.fbcdn.net/v/t1.18169-1/15726489_10154864506721098_569296333386209188_n.jpg?stp=cp0_dst-jpg_p48x48&_nc_cat=107&ccb=1-7&_nc_sid=7206a8&_nc_ohc=Kd_Hwrmw5BMAX_mcJRf&_nc_ht=scontent-sof1-1.xx&oh=00_AfA3I73wjLqQoNqWVaYSlktYz9xDUPUdjiB8GnGAf2pR6w&oe=6422AB02
